timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1590277878.1371,BTCUSDT,Buy,5.0,9171.0,PlusTick,b8db91b5-7672-57ff-b9fb-f5743c60dcc0,4585500000000.0,5.0,45855.0
1590277867.5516,BTCUSDT,Sell,0.26,9170.5,ZeroMinusTick,6417bde8-fa96-569d-ac42-461a7ae7ca7c,238433000000.0,0.26,2384.33
1590277866.9147,BTCUSDT,Sell,0.02,9170.5,MinusTick,5a8f04f9-1cef-568d-9e72-7aacb6df3656,18341000000.0,0.02,183.41
1590277861.3989,BTCUSDT,Buy,0.004,9171.0,ZeroMinusTick,4737283f-a89f-550e-853e-605246f0037b,3668399999.9999995,0.004,36.684
1590277861.3989,BTCUSDT,Buy,0.001,9171.0,PlusTick,ff3c6571-61d2-5bad-be60-d7b714ae767a,917099999.9999999,0.001,9.171
1590277853.1148,BTCUSDT,Buy,0.727,9170.5,ZeroMinusTick,6f7de4e3-956c-5601-ae78-78fe1e05a8ad,666695350000.0,0.727,6666.9535
1590277853.015,BTCUSDT,Buy,0.1,9170.5,ZeroMinusTick,a9824be4-df19-5533-b824-9bf75c9f3ae4,91705000000.0,0.1,917.05
1590277852.9148,BTCUSDT,Buy,0.225,9170.5,ZeroMinusTick,65961d0f-fba5-5721-8199-cb6b96696b8e,206336250000.00003,0.225,2063.3625
1590277852.815,BTCUSDT,Buy,0.1,9170.5,PlusTick,71f5c494-f354-5ce2-ad96-505224fe6d14,91705000000.0,0.1,917.05
1590277821.3393,BTCUSDT,Buy,0.001,9169.0,PlusTick,444c8b8c-cac8-58a9-861c-a7742ff3107e,916900000.0,0.001,9.169
1590277821.3393,BTCUSDT,Buy,0.179,9166.5,MinusTick,ba83b44d-8acc-5421-ba3c-d2a2b650fea2,164080350000.0,0.179,1640.8035
1590277821.3393,BTCUSDT,Buy,0.38,9170.5,ZeroMinusTick,27d67e52-1451-5c30-b8a9-8f1824df3ad7,348479000000.0,0.38,3484.79
1590277821.3393,BTCUSDT,Buy,0.175,9170.5,PlusTick,9e13bbde-fbfb-547d-a6c5-e2b914910cd2,160483750000.0,0.175,1604.8375
1590277821.3393,BTCUSDT,Buy,0.009,9166.5,PlusTick,7da205a6-07ba-5b73-b2aa-d9b14bdcd53c,8249850000.000001,0.009,82.4985
1590277772.2547,BTCUSDT,Sell,0.105,9166.0,ZeroMinusTick,b4c6e58b-029f-5b57-a365-069b18c0392f,96243000000.0,0.105,962.43
1590277772.2547,BTCUSDT,Sell,0.235,9166.0,MinusTick,c004fb7b-bb93-53f1-85e9-3865845f6103,215401000000.00003,0.235,2154.01
1590277772.2547,BTCUSDT,Sell,0.001,9166.5,MinusTick,f906f4a5-c040-5330-830b-03d2d6cf8ac3,916649999.9999999,0.001,9.1665
1590277772.2547,BTCUSDT,Sell,0.235,9167.0,MinusTick,1d6804ee-a3d8-529a-a835-1268a9e64447,215424500000.0,0.235,2154.245
1590277772.2547,BTCUSDT,Sell,0.75,9168.5,ZeroMinusTick,65bb6042-11aa-56de-8bcd-7feaa5c3cd35,687637500000.0,0.75,6876.375
1590277767.8222,BTCUSDT,Sell,0.25,9168.5,MinusTick,06bc89b5-25d1-515f-94f0-ade56581f70d,229212500000.0,0.25,2292.125
1590277734.5144,BTCUSDT,Buy,0.5,9170.0,ZeroMinusTick,b7211e54-3b0a-541c-9e38-37d9cddf6131,458500000000.0,0.5,4585.0
1590277732.4849,BTCUSDT,Buy,0.592,9170.0,MinusTick,dfcc9b50-d759-5332-967c-59b8811dfe48,542864000000.00006,0.592,5428.64
1590277731.9753,BTCUSDT,Sell,0.001,9172.0,MinusTick,446f3832-842c-5fe3-b786-4db1cdb76814,917200000.0000001,0.001,9.172
1590277728.5394,BTCUSDT,Buy,0.205,9172.5,ZeroMinusTick,95441f8b-ab87-51cd-9272-c791f9e3ab73,188036250000.0,0.205,1880.3625
